"";"internacao";"amq";"consulta";"domiciliar";"emergencia";"honorario";"material";"medicamento";"nulo";"pacote";"remocao";"sadt";"taxa"
"67";"n";"20140602";37277;NA;20463;30733;17810;68735;NA;8265;21410;274347;5494
"68";"n";"20140701";71209;NA;22734;47541;27268;84127;NA;13674;10679;479753;7391
"69";"n";"20140702";86779;NA;25083;63191;39142;101090;NA;17086;19577;571268;9409
"70";"n";"20140801";76507;NA;23147;58724;28986;91307;NA;15842;11783;536798;8772
"71";"n";"20140802";70898;NA;24963;56356;24096;85411;NA;15021;19952;500253;8407
"72";"n";"20140901";74809;NA;23928;57955;23378;91061;NA;15113;13120;510202;9302
"73";"n";"20140902";72501;NA;23899;56305;25771;86630;NA;15531;16708;486628;8837
"74";"n";"20141001";75575;NA;23273;58488;26702;99984;NA;16133;19826;518283;9577
"75";"n";"20141002";78483;NA;25333;61508;23867;99734;NA;16754;17114;524493;10001
"76";"n";"20141101";69228;NA;21627;54439;16659;94101;NA;14535;16714;488623;8538
"77";"n";"20141102";64035;NA;20685;52705;24842;94573;NA;13493;15179;446839;8152
"78";"n";"20141201";66582;NA;20482;50917;25604;92417;NA;14471;16254;425761;8298
"79";"n";"20141202";36859;NA;18902;31337;18739;80063;NA;9322;13472;259928;6177
"80";"n";"20150101";62558;NA;20333;41617;19280;84460;NA;12163;23521;442670;6958
"81";"n";"20150102";80194;NA;20734;59359;23876;79452;NA;16819;14547;589287;9096
"82";"n";"20150201";60602;NA;18075;48885;20240;65615;NA;13831;17517;461161;7516
"83";"n";"20150202";49307;NA;17360;37080;11965;72312;NA;11223;16773;377894;5981
"84";"n";"20150301";77261;NA;22280;57331;17796;52258;NA;16908;14710;567064;8610
"85";"n";"20150302";87448;NA;26811;69494;31117;83094;NA;19621;22300;630702;9861
"86";"n";"20150401";66777;NA;23065;51266;17816;84892;NA;15572;13939;484139;7787
"87";"n";"20150402";64668;NA;24223;49953;15283;56038;NA;15150;21855;493299;8204
"88";"n";"20150501";74282;NA;26486;56162;19690;59346;NA;16770;14480;519473;8422
"89";"n";"20150502";73323;NA;28912;56269;25929;76673;NA;17039;22764;533928;8617
"90";"n";"20150601";72631;NA;26603;55298;10513;73158;NA;22028;18279;505646;8653
"91";"n";"20150602";52996;NA;23875;43193;17333;17122;NA;12727;22926;394091;7174
"92";"n";"20150701";78930;NA;25720;55950;25120;62785;NA;17799;27903;561983;8827
"93";"n";"20150702";91000;NA;28222;69942;30983;70522;NA;20998;32319;661980;10777
"94";"n";"20150801";77988;NA;24171;61940;27102;63526;NA;19021;27976;607683;9359
"95";"n";"20150802";79609;NA;25671;64033;24788;77347;NA;19662;24972;571232;9784
"96";"n";"20150901";75692;NA;23485;58508;21494;89285;NA;19181;25941;568782;9111
"97";"n";"20150902";82459;NA;23071;63394;22447;76887;NA;20252;20744;585236;10021
"98";"n";"20151001";73910;NA;21630;57222;22176;66839;NA;18520;19836;556210;8680
"99";"n";"20151002";82062;NA;23176;63927;29668;87655;NA;20528;19266;606789;9783
"100";"n";"20151101";69006;NA;20709;51736;23749;77566;NA;16620;20519;513785;7986
"101";"n";"20151102";81239;NA;21258;61773;27878;66945;NA;19842;20036;577254;8801
"102";"n";"20151201";76274;NA;19766;57878;24599;84567;9;18767;21651;529412;8896
"103";"n";"20151202";41992;NA;19338;33958;16097;65775;NA;11389;16947;325385;6253
"104";"n";"20160101";70980;NA;19233;49424;12272;72266;NA;15208;14953;516002;8016
"105";"n";"20160102";81068;NA;20552;59063;23434;77912;NA;18587;16198;623685;8880
"106";"n";"20160201";46733;NA;21761;34165;15415;66426;NA;11680;19595;403234;5845
"107";"n";"20160202";83265;NA;25206;57879;26337;67170;NA;20107;19807;618224;8763
"108";"n";"20160301";88874;NA;26001;66626;34391;77215;NA;22222;22463;696950;9872
"109";"n";"20160302";79543;NA;24745;63109;33081;71173;NA;21574;24787;619704;9566
"110";"n";"20160401";88035;NA;23495;66813;31747;92532;NA;22176;22777;678783;10002
"111";"n";"20160402";67281;NA;21837;52837;21854;79135;1;18598;19611;549540;8109
"112";"n";"20160501";79122;NA;21876;59375;26410;72064;NA;20308;20720;582285;8972
"113";"n";"20160502";82471;NA;23749;66498;24904;95073;NA;21892;23596;619988;9983
"114";"n";"20160601";85233;NA;21329;64523;5198;25117;NA;22788;17566;596913;9885
"115";"n";"20160602";58866;NA;18385;45378;5595;7307;NA;16656;22240;443965;7752
"116";"n";"20160701";87579;NA;21361;64277;NA;22732;NA;22741;23952;648864;10079
"117";"n";"20160702";79703;NA;22770;57945;NA;15062;NA;21611;17288;603575;9704
"118";"n";"20160801";85155;NA;22648;65034;NA;34592;NA;22616;36941;595398;10465
"119";"n";"20160802";89643;NA;23682;68982;6730;23946;NA;25826;20182;627122;11235
"120";"n";"20160901";76717;NA;21631;58656;2;28796;NA;21124;22918;556880;9605
"121";"n";"20160902";81535;NA;21519;63668;2442;63981;NA;22729;23810;581820;9952
"122";"n";"20161001";69965;NA;20633;49160;3279;59275;NA;20306;20268;537760;8115
"123";"n";"20161002";89970;NA;24084;63670;7759;32023;2;24945;18045;629954;9574
"124";"n";"20161101";70008;NA;20296;48945;5209;17771;NA;19529;19854;544116;8233
"125";"n";"20161102";90500;NA;21799;63993;18645;83506;3;25656;17285;633281;10062
"126";"n";"20161201";83100;NA;20366;55720;24290;77157;NA;23919;15689;581113;9172
"127";"n";"20161202";50315;NA;19212;39760;4451;23992;1;15546;25880;397353;7472
"128";"n";"20170101";68184;NA;19182;45454;2212;7802;8;15955;16163;533564;7660
"129";"n";"20170102";103370;NA;21443;70859;NA;NA;NA;26748;21110;785471;11023
"130";"n";"20170201";87948;NA;19718;61139;NA;NA;NA;24471;21271;673393;9779
"131";"n";"20170202";41669;NA;14574;31577;NA;NA;NA;13039;18078;340329;5213
"132";"n";"20170301";79648;NA;21746;50734;NA;NA;NA;20868;30397;564148;8126
"133";"n";"20170302";72603;NA;15255;44325;NA;NA;NA;20780;18027;470314;6251
"134";"s";"20110502";NA;NA;NA;4;NA;NA;NA;NA;NA;NA;4
"135";"s";"20110702";NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA
"136";"s";"20110901";NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
"137";"s";"20110902";NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA
"138";"s";"20111001";NA;NA;NA;NA;138;80;NA;NA;NA;NA;NA
"139";"s";"20111002";NA;51;NA;4;2684;70;NA;NA;NA;NA;3
"140";"s";"20111101";NA;58;NA;NA;108;49;NA;NA;NA;NA;NA
"141";"s";"20111102";NA;6;NA;5;84;342;NA;NA;NA;NA;2
"142";"s";"20111201";NA;NA;NA;11;25;225;NA;1;NA;NA;11
"143";"s";"20111202";NA;NA;NA;NA;364;672;NA;2;NA;NA;NA
"144";"s";"20120101";NA;NA;NA;NA;26;58;NA;NA;NA;NA;NA
"145";"s";"20120102";NA;27;NA;10;54;52;NA;1;NA;21;10
